"name","code","e164","mcc","mcci"
"Korea N. Dem. People's Rep.","850","850","467","1127"
"Portugal","351","351","268","616"
"Paraguay","595","595","744","1860"
"Palestinian Territory","970","970","425","1061"
"French Polynesia","689","689","547","1351"
"Qatar","974","974","427","1063"
"Reunion","262","262","647","1607"
"Romania","40","40","226","550"
"Russian Federation","79","79","250","592"
"Rwanda","250","250","635","1589"
"Saudi Arabia","966","966","420","1056"
"Sudan","249","249","634","1588"
"Senegal","221","221","608","1544"
"Singapore","65","65","525","1317"
"South Georgia","500","500",NULL,NULL
"Svalbard and Jan Mayen","4779","47",NULL,NULL
"Solomon Islands","677","677","540","1344"
"Sierra Leone","232","232","619","1561"
"El Salvador","503","503","706","1798"
"San Marino","378","378","292","658"
"Somalia","252","252","637","1591"
"St. Pierre & Miquelon","508","508","308","776"
"Serbia","381","381","220","544"
"South Sudan (Republic of)",NULL,"211","659","1625"
"Sao Tome & Principe","239","239","626","1574"
"Suriname","597","597","746","1862"
"Slovakia","421","421","231","561"
"Slovenia","386","386","293","659"
"Sweden","46","46","240","576"
"Swaziland","268","268","653","1619"
"Sint Maarten","1721","1",NULL,NULL
"Seychelles","248","248","633","1587"
"Syrian Arab Republic","963","963","417","1047"
"Turks and Caicos Islands",NULL,"1","376","886"
"Chad","235","235","622","1570"
"Togo","228","228","615","1557"
"Thailand","66","66","520","1312"
"Tajikistan","992","992","436","1078"
"Tokelau","690","690",NULL,NULL
"Turkmenistan","993","993","438","1080"
"Timor-Leste","670","670","514","1300"
"Tonga","676","676","539","1337"
"Trinidad and Tobago","1868","1","374","884"
"Tunisia","216","216","605","1541"
"Turkey","90","90","286","646"
"Tuvalu",NULL,"688","553","1363"
"Taiwan","886","886","466","1126"
"Tanzania","255","255","640","1600"
"Uganda","256","256","641","1601"
"Ukraine","380","380","255","597"
"United States Minor Outlying Islands",NULL,"1",NULL,NULL
"Uruguay","598","598","748","1864"
"United States","1","1","310","784"
"Uzbekistan","998","998","434","1076"
"Vatican","3906698","39",NULL,NULL
"St. Vincent & Gren.","1784","1","360","864"
"Venezuela","58","58","734","1844"
"British Virgin Islands","284","1","348","840"
"Virgin Islands U.S.","1340","1","376","886"
"Viet Nam","84","84","452","1106"
"Vanuatu","678","678","541","1345"
"Wallis and Futuna","681","681",NULL,NULL
"Samoa","685","685","549","1353"
"Yemen","967","967","421","1057"
"South Africa","27","27","655","1621"
"Zambia","260","260","645","1605"
"Zimbabwe","263","263","648","1608"
"Abkhazia","7","7","289","649"
"International Networks","882","0","901","2305"
"Satellite Networks","870","870","901","2305"
